Sample ID	Collection date	Geological location name	Latitude/Longtitude	Days since blooming	Air temperature (˚C)	Humidity (%)	Rainfall (mm)	Sunlight (MJ/m^2)
omgseq_003018	2015-03-31 14:47:00	Tokyo, Musashino, Japan	35.7047 N 139.5754 E	4	not collected	not collected	not collected	not collected
omgseq_003026	2015-03-31 14:54:00	Tokyo, Musashino, Japan	35.7047 N 139.5754 E	4	not collected	not collected	not collected	not collected
omgseq_003034	2015-03-29 15:00:00	Saitama, Saitama, Japan	35.9168 N 139.6297 E	not collected	19.1	not collected	0.0	0.0
omgseq_003042	2015-04-12 19:00:00	Tokyo, Minato, Japan	35.6662 N 139.7304 E	20	13.2	58.0	0.0	0.0
omgseq_003051	2015-04-01 09:30:00	Kanagawa, Yokohama, Japan	35.4333 N 139.6263 E	not collected	15.9	81.0	0.0	0.0
omgseq_003069	2015-04-01 09:30:00	Kanagawa, Yokohama, Japan	35.4333 N 139.6263 E	not collected	15.9	81.0	0.0	0.0
omgseq_003077	2015-04-07 15:25:00	Kanagawa, Kawasaki, Japan	35.5729 N 139.6566 E	15	11.0	85.0	0.0	0.0
omgseq_003085	2015-04-07 15:45:00	Kanagawa, Kawasaki, Japan	35.5734 N 139.6563 E	15	11.0	85.0	0.0	0.0
omgseq_003093	2015-03-31 13:00:00	Chiba, Kashiwa, Japan	35.9029 N 139.9392 E	5	not collected	not collected	not collected	not collected
omgseq_003107	2015-03-31 13:00:00	Chiba, Kashiwa, Japan	35.9029 N 139.9391 E	5	20.6	not collected	0.0	1.0
omgseq_003115	2015-03-30 13:00:00	Tokyo, Meguro, Japan	35.6060 N 139.6834 E	4	20.7	32.0	0.0	1.0
omgseq_003123	2015-03-30 13:00:00	Tokyo, Meguro, Japan	35.6060 N 139.6834 E	not collected	20.7	32.0	0.0	1.0
omgseq_003131	2015-03-30 13:30:00	Tokyo, Meguro, Japan	35.6059 N 139.6836 E	not collected	20.7	32.0	0.0	1.0
omgseq_003140	2015-03-30 13:30:00	Tokyo, Meguro, Japan	35.6059 N 139.6836 E	not collected	20.7	32.0	0.0	1.0
omgseq_003158	2015-03-30 13:38:00	Tokyo, Meguro, Japan	35.3620 N 139.4127 E	2	20.7	32.0	0.0	1.0
omgseq_003166	2015-03-30 13:38:00	Tokyo, Meguro, Japan	35.3620 N 139.4127 E	2	20.7	32.0	0.0	1.0
omgseq_003174	2015-03-30 14:08:00	Tokyo, Ota, Japan	35.3652 N 139.4158 E	2	21.8	34.0	0.0	1.0
omgseq_003182	2015-03-30 14:08:00	Tokyo, Ota, Japan	35.3651 N 139.4160 E	2	21.8	34.0	0.0	1.0
omgseq_003191	2015-03-31 12:45:00	Kanagawa, Atsugi, Japan	35.4272 N 139.3685 E	5	20.1	not collected	0.0	1.0
omgseq_003204	2015-03-31 12:50:00	Kanagawa, Atsugi, Japan	35.4272 N 139.3685 E	5	20.1	not collected	0.0	1.0
omgseq_003212	2015-03-31 13:05:00	Kanagawa, Atsugi, Japan	35.4125 N 139.3649 E	5	20.4	not collected	0.0	1.0
omgseq_003221	2015-03-31 13:10:00	Kanagawa, Atsugi, Japan	35.4125 N 139.3649 E	5	20.4	not collected	0.0	1.0
omgseq_003239	2015-04-01 09:00:00	Tokyo, Minato, Japan	35.6305 N 139.7785 E	5	15.6	67.0	0.0	0.0
omgseq_003247	2015-04-01 09:10:00	Tokyo, Minato, Japan	35.6305 N 139.7785 E	1	15.6	67.0	0.0	0.0
omgseq_003255	2015-04-03 07:58:00	Chiba, Chiba, Japan	35.5490 N 140.1740 E	5	15.0	80.0	0.0	0.0
omgseq_003263	2015-04-03 07:58:00	Chiba, Chiba, Japan	35.5490 N 140.1740 E	5	15.0	80.0	0.0	0.0
omgseq_003271	2015-04-03 07:36:00	Chiba, Chiba, Japan	35.5490 N 140.1740 E	5	15.0	80.0	0.0	0.0
omgseq_003280	2015-04-03 07:32:00	Chiba, Chiba, Japan	35.5490 N 140.1740 E	5	15.0	80.0	0.0	0.0
omgseq_003298	2015-04-03 06:54:00	Chiba, Chiba, Japan	35.5450 N 140.1800 E	5	14.2	77.0	0.0	0.0
omgseq_003301	2015-04-03 06:32:00	Chiba, Chiba, Japan	35.5440 N 140.1800 E	5	14.2	77.0	0.0	0.0
omgseq_003310	2015-04-02 12:18:38	Tokyo, Bunkyo, Japan	35.7107 N 139.7636 E	not collected	14.6	45.0	0.0	0.6
omgseq_003328	2015-04-02 12:34:16	Tokyo, Bunkyo, Japan	35.7110 N 139.7637 E	not collected	14.6	45.0	0.0	0.6
omgseq_003336	2015-04-02 12:49:20	Tokyo, Bunkyo, Japan	35.7103 N 139.7690 E	not collected	14.6	45.0	0.0	0.6
omgseq_003344	2015-04-02 12:55:44	Tokyo, Bunkyo, Japan	35.7105 N 139.7696 E	not collected	14.6	45.0	0.0	0.6
omgseq_003352	2015-04-04 13:25:00	Tokyo, Shinagawa, Japan	35.6123 N 139.7015 E	12	12.3	57.0	0.0	0.0
omgseq_003361	2015-04-04 14:10:00	Tokyo, Shinagawa, Japan	35.6119 N 139.7019 E	12	13.2	60.0	0.0	0.0
omgseq_003379	2015-04-04 17:20:00	Tokyo, Taito, Japan	35.7144 N 139.8024 E	7	12.5	65.0	0.0	0.0
omgseq_003387	2015-04-04 17:39:42	Tokyo, Sumida, Japan	35.7121 N 139.8024 E	7	12.5	65.0	0.0	0.0
omgseq_003395	2015-04-19 15:30:00	Shizuoka, Susono, Japan	35.1739 N 138.9067 E	20	13.5	not collected	0.0	0.0
omgseq_003409	2015-04-19 15:30:00	Shizuoka, Susono, Japan	35.1739 N 138.9067 E	20	13.5	not collected	0.0	0.0
omgseq_003417	2015-03-29 15:30:00	Tokyo, Taito, Japan	35.7089 N 139.7742 E	10	17.9	55.0	0.0	0.0
omgseq_003425	2015-03-29 15:30:00	Tokyo, Taito, Japan	35.7089 N 139.7742 E	10	17.9	55.0	0.0	0.0
omgseq_003492	2015-04-10 09:40:00	Tokyo, Chuo, Japan	35.6592 N 139.7734 E	6	8.3	63.0	0.0	0.0
omgseq_003506	2015-04-10 09:50:00	Tokyo, Chuo, Japan	35.6591 N 139.7768 E	6	8.3	63.0	0.0	0.0
omgseq_003514	2015-03-29 11:17:00	Tokyo, Setagaya, Japan	35.6331 N 139.6580 E	6	20.0	42.0	0.0	0.9
omgseq_003522	2015-03-29 12:02:00	Tokyo, Setagaya, Japan	35.6267 N 139.6614 E	6	19.8	46.0	0.0	0.0
omgseq_003557	2015-03-30 15:06:34	Tokyo, Ota, Japan	35.5672 N 139.7218 E	4	21.0	33.0	0.0	1.0
omgseq_003565	2015-03-30 15:08:33	Tokyo, Ota, Japan	35.5672 N 139.7218 E	not collected	21.0	33.0	0.0	1.0
omgseq_003573	2015-04-06 14:47:00	Chiba, Kashiwa, Japan	35.5347 N 139.5618 E	14	22.7	not collected	0.0	0.8
omgseq_003581	2015-04-06 14:57:00	Chiba, Kashiwa, Japan	35.5358 N 139.5613 E	14	22.7	not collected	0.0	0.8
omgseq_003590	2015-04-04 12:15:00	Tokyo, Machida, Japan	35.5671 N 139.4684 E	0	not collected	not collected	0.0	not collected
omgseq_003603	2015-04-03 12:32:00	Tokyo, Machida, Japan	35.5633 N 139.4633 E	not collected	not collected	not collected	0.0	not collected
omgseq_003611	2015-03-30 16:25:41	Tokyo, Arakawa, Japan	35.7410 N 139.7868 E	1	20.6	35.0	0.0	1.0
omgseq_003620	2015-03-30 16:31:57	Tokyo, Arakawa, Japan	35.7419 N 139.7869 E	1	20.6	35.0	0.0	1.0
omgseq_003638	2015-04-04 14:11:44	Tokyo, Arakawa, Japan	35.7376 N 139.7848 E	7	13.2	60.0	0.0	0.0
omgseq_003646	2015-04-04 14:41:53	Tokyo, Arakawa, Japan	35.7365 N 139.7845 E	7	13.2	60.0	0.0	0.0
omgseq_003671	2015-04-04 09:40:00	Tokyo, Bunkyo, Japan	35.4258 N 139.4540 E	6	12.2	62.0	0.0	0.0
omgseq_003689	2015-04-04 09:45:00	Tokyo, Bunkyo, Japan	35.4259 N 139.4540 E	14	12.2	62.0	0.0	0.0
omgseq_003697	2015-04-07 18:00:00	Tokyo, Chiyoda, Japan	35.6830 N 139.7323 E	15	9.8	86.0	0.0	0.0
omgseq_003701	2015-04-07 18:00:00	Tokyo, Chiyoda, Japan	35.6830 N 139.7323 E	15	9.8	86.0	0.0	0.0
omgseq_003719	2015	Japan	not collected	not collected	not collected	not collected	not collected	not collected
omgseq_003727	2015	Japan	not collected	not collected	not collected	not collected	not collected	not collected
omgseq_003735	2015-04-06 09:50:00	Tokyo, Arakawa, Japan	35.7360 N 139.8130 E	8	16.4	67.0	0.0	1.0
omgseq_003743	2015-04-06 10:00:00	Tokyo, Arakawa, Japan	35.7360 N 139.8130 E	8	17.5	58.0	0.0	1.0
omgseq_003751	2015-04-03 10:30:00	Chiba, Kashiwa, Japan	35.8998 N 139.9325 E	7	14.6	not collected	0.0	0.0
omgseq_003760	2015-04-04 07:00:00	Chiba, Kashiwa, Japan	35.8999 N 139.9331 E	8	10.2	not collected	0.0	0.0
omgseq_003778	2015-04-01 16:15:54	Kanagawa, Kawasaki, Japan	35.5996 N 139.5472 E	10	17.8	79.0	0.0	0.0
omgseq_003786	2015-04-01 16:18:30	Kanagawa, Kawasaki, Japan	35.5996 N 139.5472 E	10	17.8	79.0	0.0	0.0
omgseq_003794	2015-04-06 08:00:00	Tokyo, Setagaya, Japan	35.6334 N 139.6116 E	15	14.1	76.0	0.0	1.0
omgseq_003808	2015-04-06 08:10:00	Tokyo, Setagaya, Japan	35.6334 N 139.6116 E	15	14.1	76.0	0.0	1.0
omgseq_003816	2015-03-31 12:00:00	Tokyo, Taito, Japan	35.7154 N 139.7736 E	8	23.1	35.0	0.0	1.0
omgseq_003824	2015-03-31 12:00:00	Tokyo, Taito, Japan	35.7154 N 139.7736 E	8	23.1	35.0	0.0	1.0
omgseq_003832	2015-04-04 18:00:00	Tokyo, Shinjuku, Japan	35.6992 N 139.7217 E	13	11.3	62.0	0.0	0.0
omgseq_003841	2015-04-05 18:00:00	Tokyo, Shinjuku, Japan	35.6992 N 139.7217 E	14	10.9	97.0	0.0	0.0
omgseq_003859	2015-03-31 13:00:00	Kanagawa, Yokosuka, Japan	35.3196 N 139.6503 E	1	19.1	not collected	0.0	1.0
omgseq_003867	2015-04-03 14:00:00	Kanagawa, Yokosuka, Japan	35.3196 N 139.6503 E	not collected	17.5	not collected	0.0	0.0
omgseq_003875	2015-03-31 11:30:00	Tokyo, Suginami, Japan	35.7168 N 139.6238 E	8	21.1	32.0	0.0	1.0
omgseq_003883	2015-03-31 13:30:00	Tokyo, Nakano, Japan	35.7214 N 139.6340 E	8	22.4	33.0	0.0	1.0
omgseq_003891	2015-04-03 14:30:00	Tokyo, Setagaya, Japan	35.5985 N 139.6508 E	11	18.9	85.0	0.0	0.0
omgseq_003905	2015-04-03 15:30:00	Tokyo, Setagaya, Japan	35.6285 N 139.6592 E	11	19.9	79.0	0.0	0.0
